PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,8,0,0,0.04,1,0.04
149,237,1,0,147.4,1,147.4
221,324,2,0,71.93,1,71.93
277,400,2,0,55.32,1,55.32
346,466,3,0,68.51,2,34.25
412,533,4,0,65.78,2,32.89
473,587,4,1,60.39,2,30.2
541,650,5,1,67.52,3,22.51
609,713,6,2,66.36,3,22.12
673,757,6,4,62.08,3,20.69
743,838,7,5,68.52,4,17.13
815,895,8,5,68.77,4,17.19
882,969,8,6,65.23,4,16.31
956,1053,9,6,73.04,5,14.61
1025,1108,10,7,65.62,5,13.12
1089,1180,10,7,63.81,5,12.76
1145,1208,11,8,55.26,6,9.21
1206,1262,12,9,59.3,6,9.88
1270,1312,12,9,60.72,6,10.12
1329,1358,13,10,58.47,6,9.74
1394,1404,13,11,60.86,7,8.69
1469,1452,14,13,73.42,7,10.49
1538,1499,15,14,63.8,7,9.11
1599,1543,15,16,59.67,7,8.52
1660,1614,16,18,60.79,8,7.6
1722,1649,17,19,61.62,8,7.7
1779,1711,17,20,54.27,8,6.78
1843,1754,18,20,60.82,8,7.6
1899,1793,18,20,55.61,8,6.95
1960,1835,19,20,59.58,9,6.62
2021,1859,20,22,56.32,9,6.26
2083,1912,20,23,56.55,9,6.28
2143,1978,21,24,59.49,9,6.61
2203,2030,22,24,54.1,10,5.41
2263,2082,22,24,57.39,10,5.74
2320,2130,23,27,52.55,10,5.25
2378,2189,23,29,52.72,10,5.27
2441,2235,24,30,55.91,11,5.08
2503,2270,25,32,61.95,11,5.63
2559,2305,25,33,50.99,11,4.64
2618,2366,26,35,58.31,11,5.3
2670,2416,26,36,51.5,12,4.29
2729,2461,27,37,56.84,12,4.74
2786,2499,27,40,54.67,12,4.56
2842,2556,28,40,54.88,12,4.57
2899,2588,28,43,51.79,12,4.32
2960,2612,29,44,54.85,13,4.22
3022,2639,30,47,54.88,13,4.22
3085,2683,30,49,55.22,13,4.25
3146,2733,31,50,60.87,13,4.68
3201,2772,32,50,48.99,13,3.77
3255,2821,32,51,53.35,14,3.81
3323,2868,33,51,58.88,14,4.21
3377,2896,33,53,53.69,14,3.83
3433,2929,34,53,54.43,14,3.89
3488,2971,34,54,54.86,14,3.92
3542,2997,35,56,52.38,14,3.74
3600,3031,36,56,55.32,15,3.69
3660,3088,36,56,56.48,15,3.77
3718,3119,37,58,53.99,15,3.6
3776,3145,37,60,51.0,15,3.4
3832,3173,38,64,51.9,15,3.46
3893,3223,38,65,51.16,16,3.2
3957,3254,39,65,55.9,16,3.49
4019,3317,40,67,52.98,16,3.31
4082,3363,40,68,52.23,16,3.26
4143,3400,41,71,50.84,17,2.99
4192,3411,41,72,43.94,17,2.58
4227,3425,42,72,28.66,17,1.69
4277,3455,42,72,43.93,17,2.58
4312,3467,43,72,27.92,17,1.64
4362,3478,43,72,43.69,17,2.57
4396,3479,43,73,27.03,17,1.59
4446,3481,44,73,43.32,17,2.55
4480,3504,44,74,27.0,17,1.59
4528,3523,45,76,41.8,17,2.46
4563,3547,45,76,27.63,17,1.63
4611,3551,46,78,41.06,17,2.42
4646,3556,46,78,27.53,17,1.62
4688,3568,46,80,41.99,17,2.47
4721,3584,47,85,32.9,17,1.94
4757,3590,47,85,30.96,17,1.82
4792,3609,47,85,27.23,18,1.51
4828,3623,48,85,35.26,18,1.96
4860,3649,48,89,31.36,18,1.74
4895,3650,48,90,33.88,18,1.88
4930,3657,49,91,33.8,18,1.88
4966,3660,49,91,35.38,18,1.97
5002,3657,50,91,34.95,18,1.94
5036,3654,50,93,32.73,18,1.82
5071,3669,50,94,33.83,18,1.88
5107,3672,51,94,34.98,18,1.94
5142,3669,51,95,34.25,18,1.9
5177,3676,51,96,34.31,18,1.91
5213,3665,52,96,34.5,18,1.92
5245,3659,52,100,31.17,18,1.73
5278,3669,52,103,31.65,18,1.76
5312,3671,53,105,32.65,18,1.81
5346,3658,53,107,32.63,18,1.81
5381,3647,53,108,34.13,18,1.9
5417,3651,54,108,34.79,18,1.93
5453,3652,54,109,35.39,18,1.97
5487,3648,54,110,32.68,18,1.82
5523,3643,55,110,34.55,18,1.92
5559,3636,55,110,34.87,18,1.94
5594,3640,55,111,34.33,18,1.91
5628,3636,56,113,32.64,18,1.81
5664,3620,56,113,35.56,18,1.98
5698,3617,56,115,32.13,18,1.78
5734,3604,57,115,35.32,18,1.96
5769,3590,57,116,34.03,17,2.0
5802,3572,58,117,32.74,17,1.93
5836,3558,58,117,33.53,17,1.97
5870,3552,58,117,33.88,17,1.99
5907,3536,59,117,36.93,17,2.17
5949,3520,59,119,41.97,17,2.47
5985,3494,59,119,35.77,17,2.1
6019,3486,60,120,29.46,17,1.73
6052,3472,60,122,25.66,17,1.51
6093,3465,60,122,40.99,17,2.41
6134,3453,61,123,40.97,17,2.41
6167,3437,61,125,29.14,17,1.71
6201,3431,62,126,27.34,17,1.61
6251,3404,62,126,43.62,17,2.57
6283,3393,62,128,29.4,16,1.84
6347,3364,63,128,52.41,16,3.28
6408,3334,64,131,49.58,16,3.1
6470,3306,64,133,50.82,16,3.18
6531,3266,65,136,51.18,16,3.2
6594,3226,65,137,51.66,16,3.23
6658,3195,66,137,56.32,15,3.75
6717,3163,67,138,53.56,15,3.57
6776,3135,67,139,51.46,15,3.43
6836,3092,68,139,52.92,15,3.53
6895,3053,68,140,53.15,15,3.54
6954,3014,69,141,54.19,15,3.61
7011,2974,70,142,54.35,14,3.88
7067,2923,70,142,53.1,14,3.79
7120,2877,71,145,50.1,14,3.58
7174,2823,71,147,52.3,14,3.74
7228,2771,72,148,52.19,13,4.01
7289,2710,72,151,52.62,13,4.05
7345,2654,73,152,54.82,13,4.22
7403,2596,74,154,52.64,12,4.39
7461,2539,74,156,51.23,12,4.27
7520,2480,75,157,53.52,12,4.46
7580,2420,75,157,56.05,12,4.67
7636,2364,76,158,52.01,11,4.73
7691,2309,76,158,53.66,11,4.88
7746,2254,77,158,54.14,11,4.92
7802,2198,78,160,53.9,11,4.9
7860,2140,78,160,52.45,10,5.24
7912,2088,79,163,52.0,10,5.2
7966,2034,79,164,51.0,10,5.1
8018,1982,80,171,49.13,9,5.46
8070,1930,80,173,51.28,9,5.7
8124,1876,81,173,53.89,9,5.99
8178,1822,81,174,52.51,9,5.83
8235,1765,82,175,54.04,8,6.76
8290,1710,82,176,52.86,8,6.61
8358,1642,83,178,67.98,8,8.5
8422,1578,84,178,61.98,7,8.85
8482,1518,84,181,56.69,7,8.1
8542,1458,85,184,57.17,7,8.17
8603,1397,86,186,60.84,6,10.14
8655,1345,86,188,49.63,6,8.27
8711,1289,87,192,55.12,6,9.19
8783,1217,87,192,68.79,6,11.46
8847,1153,88,192,63.04,5,12.61
8911,1089,89,193,62.33,5,12.47
8980,1020,89,194,67.18,5,13.44
9049,951,90,194,67.63,4,16.91
9116,884,91,195,65.21,4,16.3
9188,812,91,195,70.11,4,17.53
9250,750,92,196,61.8,3,20.6
9311,689,93,196,60.25,3,20.08
9378,622,93,198,66.03,3,22.01
9440,560,94,198,60.5,2,30.25
9498,502,94,198,57.95,2,28.98
9560,440,95,198,61.04,2,30.52
9619,381,96,198,58.61,1,58.61
9669,331,96,198,49.86,1,49.86
9727,273,97,198,57.84,1,57.84
9800,200,98,198,72.95,1,72.95
9916,84,99,198,115.97,1,115.97
10000,0,100,198,380.17,1,380.17
10000,0,100,198,0.0,1,0.0
10000,0,100,198,0.0,1,0.0
10000,0,100,198,0.0,1,0.0
10000,0,100,198,0.0,1,0.0
10000,0,100,198,0.0,1,0.0
