PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,8,0,0,0.04,1,0.04
314,148,0,0,312.83,1,312.83
596,248,0,0,281.81,1,281.81
848,301,0,0,251.66,1,251.66
1082,347,0,0,233.64,1,233.64
1312,357,0,0,229.18,1,229.18
1524,382,0,0,211.15,1,211.15
1857,440,0,0,333.0,2,166.5
2220,500,0,0,362.62,2,181.31
2568,489,1,0,346.27,2,173.14
2900,547,1,0,331.49,2,165.75
3224,558,1,0,322.46,2,161.23
3544,583,1,0,319.61,2,159.81
3857,578,1,2,311.81,2,155.9
4206,620,1,2,348.27,3,116.09
4641,715,1,2,433.63,3,144.54
5042,720,2,3,399.48,3,133.16
5441,739,2,3,397.94,3,132.65
5826,759,2,5,383.08,3,127.69
6201,754,2,5,372.82,3,124.27
6572,774,2,6,370.33,3,123.44
7003,798,2,9,428.94,3,142.98
7458,860,2,11,453.43,4,113.36
7900,893,3,13,439.3,4,109.82
8339,912,3,14,435.79,4,108.95
8766,959,3,15,426.32,4,106.58
9194,995,3,15,426.92,4,106.73
9674,1002,3,16,478.05,5,95.61
10165,1026,4,20,488.03,5,97.61
10665,1026,4,20,497.21,5,99.44
11155,1061,4,20,486.17,5,97.23
11648,1056,4,22,492.93,5,98.59
12125,1136,4,25,475.54,5,95.11
12583,1143,5,27,456.73,5,91.35
13042,1189,5,28,455.0,5,91.0
13530,1244,5,31,486.13,6,81.02
14056,1294,5,33,523.25,6,87.21
14562,1318,5,36,505.92,6,84.32
15060,1308,6,37,493.34,6,82.22
15563,1299,6,38,502.81,6,83.8
16059,1297,6,40,493.67,6,82.28
16544,1311,6,41,483.8,6,80.63
17069,1324,6,43,524.95,6,87.49
17549,1353,7,44,479.56,6,79.93
18033,1409,7,46,479.16,7,68.45
18562,1474,7,49,525.13,7,75.02
19093,1434,7,49,530.93,7,75.85
19617,1474,7,51,520.56,7,74.37
20153,1474,8,54,533.5,7,76.21
20684,1502,8,55,530.4,7,75.77
21200,1501,8,57,514.7,7,73.53
21707,1544,8,61,506.27,7,72.32
22211,1552,8,61,500.27,7,71.47
22736,1565,9,61,521.23,7,74.46
23267,1618,9,61,529.24,8,66.16
23791,1569,9,61,523.93,7,74.85
24309,1614,9,65,517.72,8,64.72
24851,1643,9,67,537.09,8,67.14
25386,1636,10,68,533.87,8,66.73
25930,1652,10,68,537.49,8,67.19
26476,1672,10,74,539.85,8,67.48
27034,1700,10,76,553.59,8,69.2
27567,1713,11,78,532.97,8,66.62
28068,1773,11,82,497.31,8,62.16
28579,1769,11,83,506.61,8,63.33
29107,1792,11,85,527.68,8,65.96
29605,1777,11,89,496.06,8,62.01
30115,1769,12,91,504.75,8,63.09
30625,1795,12,93,508.41,8,63.55
31167,1845,12,94,539.26,9,59.92
31715,1872,12,95,540.51,9,60.06
32253,1867,12,97,532.89,9,59.21
32808,1841,13,100,551.36,9,61.26
33359,1891,13,100,550.92,9,61.21
33877,1857,13,102,513.61,9,57.07
34426,1902,13,102,540.55,9,60.06
34951,1946,13,104,524.88,9,58.32
35466,1959,14,106,513.37,9,57.04
36036,2013,14,106,567.17,10,56.72
36588,2010,14,110,551.41,10,55.14
37123,2008,14,114,529.59,10,52.96
37712,1985,15,115,587.87,9,65.32
38306,1986,15,115,593.72,9,65.97
38895,1997,15,119,588.61,9,65.4
39431,2072,15,120,528.24,10,52.82
40039,2081,16,122,605.73,10,60.57
40626,2095,16,125,581.15,10,58.12
41234,2101,16,127,607.68,10,60.77
41803,2119,16,128,566.53,10,56.65
42350,2127,16,131,539.24,10,53.92
42867,2150,17,135,516.92,10,51.69
43395,2165,17,136,523.5,10,52.35
43967,2211,17,136,564.75,11,51.34
44567,2184,17,136,599.98,10,60.0
45086,2193,18,138,518.92,10,51.89
45606,2196,18,141,515.85,10,51.58
46164,2196,18,144,557.21,10,55.72
46686,2223,18,144,519.47,11,47.22
47261,2169,18,147,574.77,10,57.48
47781,2187,19,147,516.89,10,51.69
48321,2180,19,147,534.68,10,53.47
48917,2274,19,148,592.75,11,53.89
49523,2294,19,151,605.89,11,55.08
50131,2284,20,155,607.7,11,55.25
50679,2367,20,157,547.32,11,49.76
51217,2396,20,159,531.92,11,48.36
51778,2349,20,159,557.93,11,50.72
52303,2357,20,162,519.97,11,47.27
52840,2363,21,165,536.84,11,48.8
53400,2446,21,165,551.05,12,45.92
53984,2453,21,169,577.94,12,48.16
54560,2431,21,173,570.68,12,47.56
55201,2508,22,177,640.98,12,53.42
55790,2543,22,179,587.87,12,48.99
56352,2547,22,181,550.23,12,45.85
56890,2585,22,183,535.54,12,44.63
57429,2571,22,184,532.36,12,44.36
58001,2662,23,187,564.13,13,43.39
58609,2629,23,190,605.65,13,46.59
59180,2635,23,191,566.93,13,43.61
59753,2612,23,194,572.81,13,44.06
60295,2606,24,198,535.37,13,41.18
60838,2560,24,200,535.64,12,44.64
61393,2657,24,204,549.09,13,42.24
61958,2587,24,207,561.88,12,46.82
62513,2632,25,209,554.94,13,42.69
63177,2633,25,210,657.52,13,50.58
63800,2643,25,211,621.25,13,47.79
64363,2679,25,212,562.88,13,43.3
64927,2627,25,215,559.48,13,43.04
65484,2651,26,217,553.41,13,42.57
66053,2623,26,220,565.61,13,43.51
66605,2685,26,220,551.84,13,42.45
67156,2679,26,222,544.83,13,41.91
67711,2714,27,226,550.61,13,42.35
68264,2733,27,232,543.76,13,41.83
68809,2707,27,233,542.45,13,41.73
69354,2764,27,234,542.48,13,41.73
69900,2746,27,234,537.64,13,41.36
70446,2760,28,234,542.53,13,41.73
71026,2783,28,239,573.44,13,44.11
71576,2795,28,242,545.18,13,41.94
72134,2805,28,245,555.39,14,39.67
72707,2824,29,246,568.95,14,40.64
73278,2866,29,249,562.56,14,40.18
73893,2849,29,250,614.59,14,43.9
74434,2875,29,255,539.43,14,38.53
75034,2855,30,257,596.7,14,42.62
75664,2821,30,257,620.36,14,44.31
76210,2856,30,259,545.95,14,39.0
76753,2902,30,261,542.93,14,38.78
77295,2944,30,264,535.88,14,38.28
77866,2960,31,267,564.07,14,40.29
78519,2949,31,272,652.33,14,46.59
79210,3001,31,276,690.95,15,46.06
79753,2987,31,277,538.84,14,38.49
80327,2955,32,277,567.57,14,40.54
80999,2946,32,277,664.02,14,47.43
81604,2977,32,278,604.91,14,43.21
82209,3025,32,280,603.42,15,40.23
82807,2998,33,281,593.04,14,42.36
83398,2991,33,282,580.67,14,41.48
83952,3025,33,283,550.16,15,36.68
84431,3056,33,284,476.9,15,31.79
84954,3102,33,286,519.39,15,34.63
