PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,8,0,0,0.04,1,0.04
231,335,0,0,229.06,1,229.06
481,606,0,3,249.22,3,83.07
817,894,0,5,333.07,4,83.27
1204,1234,0,9,383.63,6,63.94
1623,1564,0,16,418.91,7,59.84
2096,1913,0,28,466.85,9,51.87
2667,2335,1,34,566.42,11,51.49
3191,2724,1,43,517.99,13,39.85
3682,3047,1,52,482.93,15,32.2
4137,3406,1,63,446.91,17,26.29
4564,3719,1,70,413.43,18,22.97
4991,4000,1,80,426.89,19,22.47
5417,4223,2,86,425.91,21,20.28
5893,4473,2,98,470.31,22,21.38
6375,4743,2,111,473.49,23,20.59
6842,5055,2,123,451.95,25,18.08
7394,5491,2,136,552.0,27,20.44
7909,5804,3,155,514.86,29,17.75
8331,6103,3,167,410.07,30,13.67
8804,6427,3,185,465.59,32,14.55
9245,6670,3,197,440.88,33,13.36
9728,6940,3,214,465.93,34,13.7
10168,7203,4,225,419.28,36,11.65
10659,7516,4,241,473.59,37,12.8
11096,7778,4,256,422.84,38,11.13
11498,8004,4,281,394.63,40,9.87
11927,8227,4,293,406.28,41,9.91
12358,8487,4,317,414.19,42,9.86
12769,8739,5,332,410.15,43,9.54
13187,8916,5,350,413.06,44,9.39
13615,9214,5,368,405.43,46,8.81
14061,9469,5,384,420.12,47,8.94
14510,9719,5,410,426.02,48,8.88
14942,10018,5,428,431.57,50,8.63
15356,10241,6,454,397.43,51,7.79
15799,10451,6,472,411.01,52,7.9
16251,10759,6,487,451.8,53,8.52
16626,10993,6,500,374.65,54,6.94
17044,11230,6,515,399.3,56,7.13
17434,11454,6,535,389.96,57,6.84
17859,11756,7,552,404.63,58,6.98
18256,11978,7,570,396.98,59,6.73
18660,12220,7,581,400.59,61,6.57
19069,12435,7,601,396.21,62,6.39
19487,12676,7,618,395.76,63,6.28
19908,12939,7,641,387.23,64,6.05
20339,13151,8,659,430.66,65,6.63
20717,13345,8,677,346.15,66,5.24
21110,13550,8,699,392.88,67,5.86
21485,13745,8,715,374.83,68,5.51
21876,13875,8,735,382.07,69,5.54
22276,14065,8,751,383.09,70,5.47
22682,14310,9,767,379.16,71,5.34
23090,14572,9,788,373.44,72,5.19
23504,14785,9,810,413.92,73,5.67
23852,15004,9,832,341.94,75,4.56
24233,15264,9,844,380.97,76,5.01
24617,15484,9,856,383.68,77,4.98
24988,15689,9,878,370.83,78,4.75
25349,15863,10,891,360.79,79,4.57
25704,16059,10,912,354.32,80,4.43
26078,16276,10,937,361.03,81,4.46
26466,16452,10,955,366.25,82,4.47
26852,16650,10,979,358.67,83,4.32
27242,16832,10,1004,355.53,84,4.23
27638,17055,11,1028,360.74,85,4.24
28030,17273,11,1045,391.87,86,4.56
28370,17485,11,1068,321.04,87,3.69
28755,17751,11,1091,384.97,88,4.37
29115,17967,11,1114,326.31,89,3.67
29484,18201,11,1129,368.9,90,4.1
29840,18404,11,1148,355.97,91,3.91
30199,18645,12,1170,358.84,93,3.86
30551,18825,12,1185,351.86,93,3.78
30888,18994,12,1201,336.83,94,3.58
31223,19146,12,1229,334.76,95,3.52
31584,19356,12,1242,350.51,96,3.65
31947,19553,12,1266,343.83,97,3.54
32319,19798,12,1285,343.24,98,3.5
32698,20014,13,1301,344.61,100,3.45
33085,20240,13,1314,346.02,101,3.43
33459,20466,13,1344,337.96,102,3.31
33847,20674,13,1365,343.13,103,3.33
34216,20904,13,1388,368.97,104,3.55
34538,21116,13,1401,305.3,105,2.91
34905,21331,13,1423,366.75,106,3.46
35234,21520,14,1447,300.2,107,2.81
35593,21694,14,1457,358.61,108,3.32
35944,21857,14,1473,351.0,109,3.22
36272,21997,14,1491,297.83,109,2.73
36615,22174,14,1509,342.61,110,3.11
36959,22352,14,1530,343.78,111,3.1
37299,22521,14,1553,339.9,112,3.03
37639,22709,15,1565,339.7,113,3.01
37958,22858,15,1589,283.9,114,2.49
38284,23024,15,1614,325.88,115,2.83
38607,23224,15,1629,322.34,116,2.78
38932,23403,15,1650,320.82,117,2.74
39266,23520,15,1667,327.57,117,2.8
39600,23701,15,1685,323.89,118,2.74
