PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,8,0,0,0.04,1,0.04
400,546,4,0,398.19,2,199.1
857,992,8,4,456.91,4,114.23
1419,1424,14,12,561.98,7,80.28
1999,1877,19,30,578.21,9,64.25
2591,2309,25,45,585.57,11,53.23
3190,2679,31,63,598.28,13,46.02
3771,2987,37,78,579.84,14,41.42
4351,3156,43,94,578.16,15,38.54
4912,3301,49,111,553.51,16,34.59
5473,3348,54,131,560.71,16,35.04
6004,3364,60,145,530.96,16,33.19
6554,3205,65,165,541.45,16,33.84
7100,2850,71,179,545.99,14,39.0
7666,2334,76,197,559.66,11,50.88
8221,1779,82,209,554.58,8,69.32
8739,1261,87,224,514.82,6,85.8
9210,790,92,234,468.67,3,156.22
9629,371,96,236,418.69,1,418.69
10000,0,100,236,481.74,1,481.74
10000,0,100,236,0.0,1,0.0
10000,0,100,236,0.0,1,0.0
10000,0,100,236,0.0,1,0.0
10000,0,100,236,0.0,1,0.0
10000,0,100,236,0.0,1,0.0
