PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,8,0,0,0.04,1,0.04
627,205,6,0,625.75,1,625.75
1081,311,10,0,453.83,1,453.83
1450,387,14,0,368.71,1,368.71
1789,432,17,0,338.22,1,338.22
2123,464,21,0,333.85,1,333.85
2450,482,24,0,326.14,1,326.14
2770,503,27,0,319.66,1,319.66
3082,547,30,0,311.22,1,311.22
3390,602,33,0,307.05,1,307.05
3678,621,36,0,287.09,1,287.09
3973,612,39,0,294.54,1,294.54
4259,671,42,0,285.15,1,285.15
4544,676,45,0,284.53,1,284.53
4826,690,48,0,281.76,1,281.76
5110,721,51,0,283.06,1,283.06
5387,730,53,0,276.58,1,276.58
5687,727,56,0,299.36,1,299.36
5947,774,59,0,259.06,1,259.06
6207,796,62,0,259.95,1,259.95
6463,768,64,0,255.99,1,255.99
6734,776,67,0,270.71,1,270.71
6998,763,69,0,263.38,1,263.38
7261,752,72,0,262.94,1,262.94
7540,715,75,0,278.06,1,278.06
7830,675,78,0,289.27,1,289.27
8093,626,80,0,262.67,1,262.67
8384,596,83,0,290.4,1,290.4
8701,521,87,0,316.33,1,316.33
9037,372,90,0,335.97,1,335.97
9443,228,94,0,405.81,1,405.81
10000,0,100,0,717.52,1,717.52
10000,0,100,0,0.0,1,0.0
10000,0,100,0,0.0,1,0.0
10000,0,100,0,0.0,1,0.0
10000,0,100,0,0.0,1,0.0
10000,0,100,0,0.0,1,0.0
