PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,8,0,0,0.04,1,0.04
329,424,0,0,327.29,2,163.65
735,846,0,1,404.66,4,101.16
1188,1242,1,6,452.91,6,75.49
1700,1691,1,19,511.89,8,63.99
2257,2101,2,28,549.83,10,54.98
2891,2508,3,39,633.99,12,52.83
3441,2887,3,48,546.11,14,39.01
3925,3217,4,63,476.75,16,29.8
4411,3568,4,75,485.73,17,28.57
4940,3919,5,87,522.64,19,27.51
5464,4316,6,101,512.61,21,24.41
5932,4645,6,114,459.37,23,19.97
6417,5009,7,127,484.8,25,19.39
6871,5291,7,149,445.93,26,17.15
7367,5634,8,161,490.56,28,17.52
7865,5937,8,175,489.52,29,16.88
8297,6218,9,189,427.98,31,13.81
8753,6499,9,201,441.13,32,13.79
9255,6806,10,221,495.38,34,14.57
9687,7097,10,236,431.51,35,12.33
10162,7420,11,260,467.29,37,12.63
10597,7719,11,275,425.93,38,11.21
11046,7975,12,290,448.72,39,11.51
11495,8198,12,308,448.77,40,11.22
11912,8431,13,328,416.95,42,9.93
12350,8714,13,339,413.35,43,9.61
12770,8977,14,356,415.18,44,9.44
13198,9228,14,377,414.96,46,9.02
13639,9490,15,391,440.76,47,9.38
14050,9701,15,414,394.75,48,8.22
14492,9928,16,423,441.94,49,9.02
14915,10200,16,438,422.81,50,8.46
15343,10416,17,462,424.18,52,8.16
15794,10663,17,482,418.65,53,7.9
16209,10901,18,496,414.52,54,7.68
16628,11123,18,510,408.88,55,7.43
17048,11370,18,535,394.33,56,7.04
17477,11581,19,560,404.79,57,7.1
17879,11853,19,585,401.88,59,6.81
18256,12099,20,607,376.53,60,6.28
18662,12317,20,618,401.43,61,6.58
19082,12563,21,629,395.64,62,6.38
19502,12789,21,648,386.38,63,6.13
19927,13045,22,671,393.55,65,6.05
20328,13291,22,690,400.67,66,6.07
20753,13512,23,700,424.59,67,6.34
21123,13761,23,717,369.94,68,5.44
21491,13942,23,735,367.97,69,5.33
21872,14145,24,750,372.51,70,5.32
22278,14347,24,768,377.93,71,5.32
22694,14540,25,782,381.03,72,5.29
23113,14746,25,798,379.55,73,5.2
23521,14960,26,813,407.73,74,5.51
23894,15192,26,833,346.71,75,4.62
24270,15412,26,853,375.66,77,4.88
24641,15579,27,876,370.87,77,4.82
25005,15796,27,889,363.8,78,4.66
25368,15956,28,911,362.53,79,4.59
25744,16223,28,929,371.05,81,4.58
26137,16462,29,942,371.83,82,4.53
26528,16687,29,962,367.02,83,4.42
26924,16933,29,983,361.68,84,4.31
27329,17234,30,1001,365.42,86,4.25
27739,17494,30,1022,366.66,87,4.21
28123,17712,31,1046,383.6,88,4.36
28496,17838,31,1054,335.48,89,3.77
28874,18008,32,1071,377.75,89,4.24
29254,18215,32,1086,379.81,90,4.22
29612,18377,32,1107,319.67,91,3.51
29967,18537,33,1125,354.9,92,3.86
30315,18716,33,1141,347.53,93,3.74
30674,18916,34,1156,351.57,94,3.74
31034,19121,34,1174,348.6,95,3.67
31394,19358,34,1196,349.37,96,3.64
31762,19553,35,1214,350.55,97,3.61
32140,19758,35,1227,347.57,98,3.55
32510,19920,36,1252,344.74,99,3.48
32882,20100,36,1278,339.72,100,3.4
33268,20275,36,1293,344.29,101,3.41
33648,20524,37,1318,339.6,102,3.33
34034,20687,37,1341,342.12,103,3.32
34410,20901,38,1361,375.82,104,3.61
34718,21053,38,1383,296.82,105,2.83
35081,21250,38,1405,362.77,106,3.42
35414,21395,39,1426,307.96,106,2.91
35782,21564,39,1447,367.9,107,3.44
36116,21736,40,1474,306.05,108,2.83
36466,21890,40,1494,349.87,109,3.21
36813,22072,40,1513,346.73,110,3.15
37147,22140,41,1535,298.97,110,2.72
37491,22268,41,1553,343.69,111,3.1
37830,22439,42,1572,338.67,111,3.05
38163,22573,42,1587,332.46,112,2.97
38492,22691,42,1612,328.68,113,2.91
38826,22782,43,1633,333.81,113,2.95
39150,22912,43,1651,323.99,114,2.84
39471,23068,43,1669,320.6,115,2.79
39795,23157,44,1693,323.77,115,2.82
40119,23270,44,1714,323.3,116,2.79
40441,23366,44,1732,322.0,116,2.78
40752,23485,45,1753,310.64,117,2.66
41058,23625,45,1774,305.56,117,2.61
41370,23701,45,1791,311.66,118,2.64
41676,23773,46,1811,305.48,118,2.59
42006,23839,46,1833,316.89,119,2.66
42343,23895,47,1853,320.95,119,2.7
42685,24010,47,1868,315.52,120,2.63
43028,24092,47,1885,320.58,120,2.67
43374,24153,48,1899,314.59,120,2.62
43705,24266,48,1929,315.11,121,2.6
44046,24346,48,1951,315.59,121,2.61
44388,24447,49,1973,313.47,122,2.57
44735,24511,49,1992,312.85,122,2.56
45085,24589,50,2008,316.69,122,2.6
45424,24656,50,2037,312.79,123,2.54
45770,24706,50,2060,315.24,123,2.56
46112,24809,51,2087,310.36,124,2.5
46456,24879,51,2115,310.87,124,2.51
46810,24925,52,2133,314.25,124,2.53
47155,25026,52,2160,303.62,125,2.43
47499,25116,52,2191,307.54,125,2.46
47852,25203,53,2213,307.16,126,2.44
48200,25278,53,2243,306.46,126,2.43
48556,25379,53,2265,308.31,126,2.45
48910,25482,54,2290,308.33,127,2.43
49260,25563,54,2321,305.26,127,2.4
49613,25603,55,2343,352.83,127,2.78
49874,25654,55,2369,260.87,128,2.04
50203,25782,55,2399,294.55,128,2.3
50538,25856,56,2426,334.92,129,2.6
50801,25875,56,2445,254.76,129,1.97
51137,25884,56,2464,335.58,129,2.6
51399,25937,57,2492,251.83,129,1.95
51728,25993,57,2520,328.71,129,2.55
51997,26067,57,2540,255.11,130,1.96
52332,26089,58,2561,334.8,130,2.58
52605,26100,58,2582,256.1,130,1.97
52940,26127,58,2602,334.99,130,2.58
53210,26178,59,2627,251.6,130,1.94
53549,26191,59,2653,338.75,131,2.59
53810,26226,59,2679,253.1,131,1.93
54146,26211,60,2697,335.68,131,2.56
54417,26221,60,2727,253.94,131,1.94
54754,26247,60,2746,336.66,131,2.57
55026,26280,61,2773,256.02,131,1.95
55361,26325,61,2806,334.48,131,2.55
55619,26353,61,2835,245.35,131,1.87
55951,26351,62,2862,331.6,131,2.53
56225,26332,62,2884,259.89,131,1.98
56560,26351,62,2913,334.98,131,2.56
56820,26310,63,2944,246.6,131,1.88
57160,26295,63,2968,339.95,131,2.6
57422,26255,63,2997,252.7,131,1.93
57760,26190,64,3023,337.5,130,2.6
58023,26146,64,3048,255.25,130,1.96
58379,26063,64,3082,305.02,130,2.35
58735,25976,65,3116,305.59,129,2.37
59090,25850,65,3148,307.16,129,2.38
59447,25770,66,3178,314.54,128,2.46
59795,25706,66,3214,312.56,128,2.44
60153,25616,66,3240,319.61,128,2.5
60503,25532,67,3272,316.57,127,2.49
60853,25474,67,3303,315.55,127,2.48
61207,25373,68,3330,325.63,126,2.58
61548,25292,68,3367,317.06,126,2.52
61891,25206,68,3402,319.18,126,2.53
62229,25081,69,3440,319.22,125,2.55
62574,24952,69,3469,328.6,124,2.65
62904,24834,69,3511,315.39,124,2.54
63247,24687,70,3538,328.49,123,2.67
63581,24508,70,3572,323.44,122,2.65
63912,24383,71,3607,325.75,121,2.69
64242,24236,71,3640,326.96,121,2.7
64577,24061,71,3666,329.05,120,2.74
64922,23858,72,3687,344.89,119,2.9
65265,23673,72,3714,342.81,118,2.91
65639,23425,72,3743,373.81,117,3.19
65999,23176,73,3777,318.96,115,2.77
66410,22852,73,3810,410.98,114,3.61
