PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,8,0,0,0.04,1,0.04
573,237,1,0,571.02,1,571.02
976,326,2,0,402.75,1,402.75
1342,372,3,0,365.05,1,365.05
1681,392,4,0,338.29,1,338.29
2237,463,5,1,555.65,2,277.83
2733,525,6,1,494.57,2,247.28
3202,546,8,2,467.61,2,233.81
3655,600,9,3,451.2,2,225.6
4211,650,10,4,554.01,3,184.67
4801,657,12,5,589.07,3,196.36
5338,740,13,8,534.85,3,178.28
5853,775,14,8,514.95,3,171.65
6384,808,15,9,529.79,4,132.45
6975,907,17,10,589.61,4,147.4
7541,929,18,12,563.03,4,140.76
8088,973,20,13,544.52,4,136.13
8631,963,21,14,542.41,4,135.6
9178,1003,22,15,546.73,5,109.35
9737,994,24,19,555.8,4,138.95
10328,1017,25,19,587.74,5,117.55
10927,1117,27,23,598.99,5,119.8
11506,1168,28,24,579.0,5,115.8
12077,1222,30,25,569.88,6,94.98
12710,1203,31,29,632.91,6,105.49
13356,1217,33,29,643.44,6,107.24
14003,1256,35,35,642.1,6,107.02
14617,1272,36,39,613.41,6,102.24
15245,1281,38,41,623.31,6,103.89
15856,1303,39,42,607.33,6,101.22
16460,1300,41,44,603.49,6,100.58
17083,1314,42,45,620.15,6,103.36
17688,1351,44,45,604.92,6,100.82
18269,1389,45,47,576.88,6,96.15
18900,1454,47,48,625.45,7,89.35
19521,1472,48,50,620.37,7,88.62
20134,1520,50,53,611.05,7,87.29
20761,1563,51,56,623.31,7,89.04
21438,1557,53,58,673.68,7,96.24
22107,1588,55,61,667.7,7,95.39
22737,1589,56,65,629.9,7,89.99
23371,1657,58,66,633.82,8,79.23
24021,1627,60,70,647.83,8,80.98
24668,1561,61,73,642.49,7,91.78
25274,1558,63,76,603.05,7,86.15
25952,1493,64,78,677.89,7,96.84
26650,1491,66,79,695.73,7,99.39
27275,1455,68,84,621.81,7,88.83
27903,1437,69,86,625.69,7,89.38
28523,1372,71,89,614.49,6,102.42
29107,1412,72,90,579.3,7,82.76
29721,1380,74,90,608.62,6,101.44
30310,1342,75,95,584.24,6,97.37
30919,1323,77,98,607.66,6,101.28
31533,1240,78,102,610.47,6,101.75
32142,1183,80,103,608.92,5,121.78
32727,1127,81,103,582.58,5,116.52
33306,1056,83,104,577.68,5,115.54
33930,1045,84,105,621.98,5,124.4
34515,976,86,107,584.45,4,146.11
35067,934,87,107,550.04,4,137.51
35617,916,89,109,548.27,4,137.07
36193,801,90,111,574.53,4,143.63
36703,767,91,112,509.07,3,169.69
37221,685,93,113,516.13,3,172.04
37741,548,94,116,518.2,2,259.1
38236,438,95,117,494.78,2,247.39
38657,364,96,117,420.26,1,420.26
39035,244,97,117,377.71,1,377.71
39563,131,98,117,527.72,1,527.72
40000,0,100,117,926.85,1,926.85
40000,0,100,117,0.0,1,0.0
40000,0,100,117,0.0,1,0.0
40000,0,100,117,0.0,1,0.0
40000,0,100,117,0.0,1,0.0
40000,0,100,117,0.0,1,0.0
