PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
79,79,1,0,78.84,1,78.84
228,183,5,0,148.62,1,148.62
316,252,7,0,87.04,1,87.04
383,303,9,0,66.37,1,66.37
442,339,10,0,58.74,1,58.74
494,354,12,0,51.23,1,51.23
545,392,13,0,50.27,1,50.27
591,427,14,0,45.54,1,45.54
635,450,15,0,43.14,1,43.14
676,477,16,0,40.6,1,40.6
715,491,17,0,38.82,1,38.82
752,514,18,0,36.85,1,36.85
788,525,19,0,35.46,1,35.46
823,547,20,0,34.96,1,34.96
857,564,20,0,33.27,1,33.27
889,598,21,0,31.77,1,31.77
920,622,22,0,30.56,1,30.56
950,647,23,0,29.13,1,29.13
979,662,23,0,28.23,1,28.23
1007,671,24,0,27.6,1,27.6
1035,684,25,0,27.4,1,27.4
1062,689,25,0,26.87,1,26.87
1090,698,26,0,27.18,1,27.18
1117,718,27,0,26.33,1,26.33
1143,725,27,0,25.57,1,25.57
1169,745,28,0,25.69,1,25.69
1195,754,29,0,25.03,1,25.03
1220,763,29,0,24.63,1,24.63
1245,775,30,0,24.23,1,24.23
1269,786,30,0,23.92,1,23.92
1293,807,31,0,23.42,1,23.42
1316,820,32,0,22.55,1,22.55
1339,827,32,0,22.27,1,22.27
1362,836,33,0,22.01,1,22.01
1384,856,33,0,21.89,1,21.89
1406,864,34,0,21.15,1,21.15
1428,875,34,0,21.28,1,21.28
1449,890,35,0,20.72,1,20.72
1470,903,35,0,20.65,1,20.65
1491,922,36,0,20.34,1,20.34
1512,924,36,0,20.09,1,20.09
1533,938,37,0,20.09,1,20.09
1553,948,37,0,19.79,1,19.79
1573,952,38,0,19.37,1,19.37
1593,967,38,0,19.44,1,19.44
1612,986,39,0,18.68,1,18.68
1631,988,39,0,18.52,1,18.52
1650,1012,40,0,18.47,1,18.47
1669,1020,40,0,18.07,1,18.07
1687,1030,41,0,17.76,1,17.76
1705,1043,41,0,17.72,1,17.72
1723,1060,42,0,17.64,1,17.64
1741,1064,42,0,17.48,1,17.48
1759,1072,42,0,17.36,1,17.36
1777,1085,43,0,17.31,1,17.31
1794,1098,43,0,17.0,1,17.0
1811,1112,44,0,16.84,1,16.84
1828,1135,44,0,16.39,1,16.39
1844,1141,45,0,15.73,1,15.73
1861,1133,45,0,16.0,1,16.0
1877,1137,45,0,15.81,1,15.81
