PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,8,0,0,0.04,1,0.04
145,239,0,0,142.6,1,142.6
217,321,0,0,71.54,1,71.54
273,396,0,0,55.35,1,55.35
344,461,0,0,70.96,2,35.48
414,532,1,0,68.6,2,34.3
476,591,1,0,61.42,2,30.71
544,645,1,0,67.53,3,22.51
615,711,1,1,70.6,3,23.53
684,777,1,1,68.04,3,22.68
752,850,1,1,67.5,4,16.88
828,931,2,1,74.21,4,18.55
896,977,2,1,65.58,4,16.39
966,1045,2,1,67.81,5,13.56
1030,1107,2,2,60.73,5,12.15
1089,1152,2,3,58.48,5,11.7
1149,1175,2,3,56.76,5,11.35
1208,1223,3,4,58.97,6,9.83
1269,1273,3,4,60.98,6,10.16
1328,1307,3,5,58.05,6,9.68
1392,1376,3,5,60.64,6,10.11
1455,1416,3,6,62.94,7,8.99
1512,1490,3,6,54.65,7,7.81
1571,1519,3,6,58.35,7,8.34
1631,1559,4,6,55.94,7,7.99
1685,1600,4,8,53.61,8,6.7
1747,1654,4,10,59.76,8,7.47
1814,1710,4,15,61.78,8,7.72
1878,1757,4,15,57.37,8,7.17
1944,1803,4,16,65.95,9,7.33
2005,1858,5,17,60.82,9,6.76
2063,1901,5,20,54.18,9,6.02
2125,1947,5,21,56.07,9,6.23
2188,2006,5,21,57.19,10,5.72
2247,2050,5,22,58.46,10,5.85
2306,2100,5,23,56.64,10,5.66
2364,2156,5,25,54.74,10,5.47
2424,2194,6,25,58.42,10,5.84
2487,2254,6,27,56.87,11,5.17
2550,2301,6,28,62.86,11,5.71
2606,2340,6,29,52.26,11,4.75
2663,2373,6,30,56.35,11,5.12
2719,2421,6,31,54.54,12,4.54
2777,2477,6,33,57.0,12,4.75
2832,2502,7,36,54.63,12,4.55
2889,2544,7,37,55.21,12,4.6
2949,2586,7,37,56.71,12,4.73
3010,2643,7,39,54.0,13,4.15
3075,2674,7,39,58.16,13,4.47
3139,2716,7,40,56.95,13,4.38
3204,2748,8,40,57.15,13,4.4
3269,2788,8,40,56.24,13,4.33
3325,2830,8,41,55.56,14,3.97
3390,2868,8,43,55.47,14,3.96
3447,2903,8,44,55.34,14,3.95
3501,2923,8,44,53.61,14,3.83
3564,2963,8,47,62.97,14,4.5
3613,2991,9,51,48.64,14,3.47
3662,3008,9,54,47.86,15,3.19
3721,3057,9,55,56.78,15,3.79
3778,3084,9,57,54.35,15,3.62
3836,3113,9,59,56.09,15,3.74
3894,3173,9,61,53.14,15,3.54
3955,3210,9,61,53.82,16,3.36
4019,3239,10,61,56.01,16,3.5
4083,3295,10,61,54.53,16,3.41
4146,3341,10,62,54.23,16,3.39
4207,3389,10,65,52.3,16,3.27
4255,3436,10,67,40.13,17,2.36
4305,3453,10,67,45.36,17,2.67
4339,3461,10,68,28.26,17,1.66
4388,3504,10,69,43.62,17,2.57
4422,3533,11,70,28.05,17,1.65
4470,3558,11,72,41.92,17,2.47
4505,3584,11,72,27.94,17,1.64
4553,3624,11,73,47.98,18,2.67
4584,3641,11,74,30.99,18,1.72
