PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,8,0,0,0.04,1,0.04
1014,297,0,0,1012.36,1,1012.36
1986,434,0,0,971.04,1,971.04
2947,529,1,0,960.72,1,960.72
3874,605,1,0,926.89,1,926.89
4780,708,1,0,905.3,1,905.3
5669,752,2,0,888.38,1,888.38
6534,844,2,0,864.38,1,864.38
7397,918,2,0,862.49,1,862.49
8267,907,3,0,869.89,1,869.89
9111,1003,3,0,842.65,1,842.65
9933,1053,3,0,821.45,1,821.45
10761,1091,4,0,826.93,1,826.93
11583,1115,4,0,821.55,1,821.55
12413,1134,4,0,829.98,1,829.98
13221,1202,5,0,807.16,1,807.16
14015,1234,5,0,792.88,1,792.88
14822,1221,5,0,806.7,1,806.7
15597,1312,6,0,774.99,1,774.99
16369,1382,6,0,771.96,1,771.96
17134,1373,6,0,764.1,1,764.1
17905,1386,7,0,770.26,1,770.26
18648,1423,7,0,742.67,1,742.67
19405,1462,7,0,756.44,1,756.44
20150,1495,8,0,744.72,1,744.72
20890,1554,8,0,739.28,1,739.28
21650,1532,8,0,759.71,1,759.71
22420,1501,8,0,769.56,1,769.56
23171,1543,9,0,750.97,1,750.97
23928,1544,9,0,756.01,1,756.01
24659,1594,9,0,730.5,1,730.5
25393,1653,10,0,732.96,1,732.96
26105,1727,10,0,711.9,1,711.9
26816,1770,10,0,710.65,1,710.65
27531,1771,11,0,713.97,1,713.97
28235,1827,11,0,703.23,1,703.23
28946,1822,11,0,709.98,1,709.98
29658,1803,11,0,711.98,1,711.98
30365,1848,12,0,706.22,1,706.22
31075,1885,12,0,709.93,1,709.93
31776,1892,12,0,699.99,1,699.99
32466,1929,12,0,688.98,1,688.98
33172,1888,13,0,705.03,1,705.03
33851,1975,13,0,678.61,1,678.61
34543,1945,13,0,691.77,1,691.77
35231,1986,14,0,687.59,1,687.59
35907,1995,14,0,675.42,1,675.42
36577,2023,14,0,669.06,1,669.06
37265,2003,14,0,687.91,1,687.91
37938,1996,15,0,672.5,1,672.5
38625,1982,15,0,686.89,1,686.89
39303,1980,15,0,677.95,1,677.95
39977,2038,15,0,673.89,1,673.89
40640,2058,16,0,662.45,1,662.45
41307,2045,16,0,666.36,1,666.36
41964,2150,16,0,656.41,1,656.41
42621,2137,17,0,656.54,1,656.54
43279,2173,17,0,657.78,1,657.78
43928,2218,17,0,648.26,1,648.26
44569,2255,17,0,640.91,1,640.91
45198,2350,18,0,627.79,1,627.79
45848,2299,18,0,649.15,1,649.15
46492,2299,18,0,643.94,1,643.94
47136,2296,18,0,642.91,1,642.91
47772,2348,19,0,635.89,1,635.89
48399,2396,19,0,626.74,1,626.74
49020,2383,19,0,620.84,1,620.84
49638,2438,19,0,617.4,1,617.4
50255,2445,20,0,616.9,1,616.9
50892,2425,20,0,636.57,1,636.57
51510,2432,20,0,617.07,1,617.07
52131,2471,20,0,620.8,1,620.8
52748,2464,21,0,616.86,1,616.86
53365,2488,21,0,616.82,1,616.82
53986,2487,21,0,620.55,1,620.55
54609,2460,21,0,622.75,1,622.75
55226,2433,22,0,616.45,1,616.45
55844,2437,22,0,617.6,1,617.6
56471,2465,22,0,626.49,1,626.49
57097,2456,22,0,625.98,1,625.98
57715,2483,23,0,617.62,1,617.62
58344,2476,23,0,628.72,1,628.72
58959,2510,23,0,614.22,1,614.22
59569,2561,23,0,609.49,1,609.49
